"","price","cleanliness_rating","room_type","dist"
"104",415.485201415415,10,"Entire home/apt",5.03923317589222
"105",215.124317484123,10,"Private room",3.59922212009322
"106",393.457221193729,10,"Private room",1.49936314123436
"107",232.231153188199,10,"Private room",3.71667932629317
"108",774.260070770745,10,"Entire home/apt",1.81054031891411
"109",291.050547184402,9,"Private room",0.653966981972201
"110",604.597755020739,10,"Entire home/apt",1.8831520950903
"111",467.040048742765,10,"Entire home/apt",1.40711020075407
"112",744.498863449957,10,"Entire home/apt",2.67809200145374
"113",250.74403018302,10,"Private room",2.06157655464039
"114",544.137979518665,10,"Private room",1.7922375062525
"115",424.155789375015,10,"Entire home/apt",3.34264805071934
"116",675.602840203407,10,"Entire home/apt",1.22659984457793
"117",909.474374897476,10,"Entire home/apt",2.61870940136058
"118",264.101422445106,10,"Private room",2.85095702392196
